Timestamp,Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps)
2026-07-18T11:40:41.927Z,16.3,-6,-8.1
2026-07-18T11:40:42.078Z,11.2,10.6,0
2026-07-18T11:40:42.236Z,15.3,-27.6,-9.4
2026-07-18T11:40:42.394Z,5.2,-27.8,-7.3
2026-07-18T11:40:42.549Z,12.5,-14.7,-6.5
2026-07-18T11:40:42.710Z,11.6,-32.5,-8.2
2026-07-18T11:40:42.863Z,11,0.7,-5.7
2026-07-18T11:40:43.021Z,13.9,-1.1,-3.1
2026-07-18T11:40:43.177Z,14.6,-5.7,-2.3
2026-07-18T11:40:43.333Z,13.6,-0.2,-3.3
2026-07-18T11:40:43.488Z,15,6.9,-2.3
2026-07-18T11:40:43.647Z,14.5,-7.5,-2.6
2026-07-18T11:40:43.800Z,14.8,1.4,-2.6
2026-07-18T11:40:43.959Z,15,15.3,-2.1
2026-07-18T11:40:44.113Z,15.5,36.9,-1.7
2026-07-18T11:40:44.263Z,16.1,9.1,-0.5
2026-07-18T11:40:44.421Z,14.8,0,-2.7
2026-07-18T11:40:44.575Z,14.4,0.5,-2.4
2026-07-18T11:40:44.737Z,15.1,-2.5,-2.6
2026-07-18T11:40:44.892Z,14.9,-2.2,-2.5
2026-07-18T11:40:45.048Z,14.9,0,-2.6
2026-07-18T11:40:45.202Z,14.3,1.6,-3
2026-07-18T11:40:45.356Z,14.2,4.3,-3.4
2026-07-18T11:40:45.515Z,14.7,-3.6,-2.4
2026-07-18T11:40:45.668Z,14.9,0.7,-2.3
2026-07-18T11:40:45.828Z,14.9,-1.5,-2.4
2026-07-18T11:40:45.981Z,15.1,1.5,-2.5
2026-07-18T11:40:46.136Z,14.6,-2.5,-2.4
2026-07-18T11:40:46.293Z,14.6,0.6,-2.3
2026-07-18T11:40:46.451Z,14.9,0,-2.5
2026-07-18T11:40:46.608Z,14.5,1.8,-2.4
2026-07-18T11:40:46.759Z,14.4,2.8,-2.9
2026-07-18T11:40:46.912Z,14.2,-5.1,-2.3
2026-07-18T11:40:47.072Z,13.6,-5.6,-4.3
2026-07-18T11:40:47.231Z,13.8,1.6,-3
2026-07-18T11:40:47.384Z,14.3,-11,-3
2026-07-18T11:40:47.542Z,12.2,-4.8,-5
2026-07-18T11:40:47.699Z,14.7,-6.9,-2.1
2026-07-18T11:40:47.857Z,15,-5.2,-2.3
2026-07-18T11:40:48.012Z,14.6,-5,-2.3
2026-07-18T11:40:48.166Z,14.9,1.9,-2.7
2026-07-18T11:40:48.324Z,14.8,0.3,-2.3
2026-07-18T11:40:48.480Z,14.5,9.2,-2.4
2026-07-18T11:40:48.633Z,15,-2.3,-2.5
2026-07-18T11:40:48.790Z,14.8,-6.1,-2.4
2026-07-18T11:40:48.948Z,14.8,3.9,-2.2
2026-07-18T11:40:49.103Z,14.8,4.9,-2.1
2026-07-18T11:40:49.260Z,14.7,-6.1,-2.5
2026-07-18T11:40:49.415Z,14.8,-0.1,-2.5
2026-07-18T11:40:49.573Z,14.9,5.2,-2.6
2026-07-18T11:40:49.726Z,14.6,6.3,-2.3
