Timestamp,Gas_Level_Analog,Digital_Pin_Value,Status
2026-07-18T12:04:18.725Z,373,1,Safe
2026-07-18T12:04:18.837Z,374,1,Safe
2026-07-18T12:04:18.935Z,375,1,Safe
2026-07-18T12:04:19.042Z,376,1,Safe
2026-07-18T12:04:19.151Z,377,1,Safe
2026-07-18T12:04:19.253Z,379,1,Safe
2026-07-18T12:04:19.359Z,383,1,Safe
2026-07-18T12:04:19.465Z,388,1,Safe
2026-07-18T12:04:19.571Z,394,1,Safe
2026-07-18T12:04:19.675Z,401,1,Safe
2026-07-18T12:04:19.783Z,409,1,Safe
2026-07-18T12:04:19.886Z,417,1,Safe
2026-07-18T12:04:19.992Z,427,1,Safe
2026-07-18T12:04:20.100Z,431,1,Safe
2026-07-18T12:04:20.201Z,439,1,Safe
2026-07-18T12:04:20.307Z,444,1,Safe
2026-07-18T12:04:20.416Z,449,1,Safe
2026-07-18T12:04:20.519Z,453,1,Safe
2026-07-18T12:04:20.625Z,457,1,Safe
2026-07-18T12:04:20.733Z,460,1,Safe
2026-07-18T12:04:20.836Z,462,1,Safe
2026-07-18T12:04:20.940Z,465,1,Safe
2026-07-18T12:04:21.050Z,466,1,Safe
2026-07-18T12:04:21.153Z,469,1,Safe
2026-07-18T12:04:21.258Z,470,1,Safe
2026-07-18T12:04:21.366Z,471,1,Safe
2026-07-18T12:04:21.470Z,473,1,Safe
2026-07-18T12:04:21.575Z,476,1,Safe
2026-07-18T12:04:21.683Z,477,1,Safe
2026-07-18T12:04:21.787Z,478,1,Safe
2026-07-18T12:04:21.891Z,479,1,Safe
2026-07-18T12:04:21.999Z,479,1,Safe
2026-07-18T12:04:22.103Z,481,1,Safe
2026-07-18T12:04:22.208Z,483,1,Safe
2026-07-18T12:04:22.316Z,484,1,Safe
2026-07-18T12:04:22.420Z,485,1,Safe
2026-07-18T12:04:22.524Z,484,1,Safe
2026-07-18T12:04:22.632Z,486,1,Safe
2026-07-18T12:04:22.735Z,486,1,Safe
2026-07-18T12:04:22.841Z,487,1,Safe
2026-07-18T12:04:22.949Z,489,1,Safe
2026-07-18T12:04:23.053Z,488,1,Safe
2026-07-18T12:04:23.157Z,488,1,Safe
2026-07-18T12:04:23.266Z,489,1,Safe
2026-07-18T12:04:23.368Z,490,1,Safe
2026-07-18T12:04:23.474Z,490,1,Safe
2026-07-18T12:04:23.582Z,492,1,Safe
2026-07-18T12:04:23.686Z,491,1,Safe
2026-07-18T12:04:23.790Z,493,1,Safe
2026-07-18T12:04:23.900Z,492,1,Safe
2026-07-18T12:04:24.001Z,493,1,Safe
2026-07-18T12:04:24.107Z,494,1,Safe
2026-07-18T12:04:24.215Z,495,1,Safe
2026-07-18T12:04:24.318Z,495,1,Safe
2026-07-18T12:04:24.424Z,496,1,Safe
2026-07-18T12:04:24.532Z,497,1,Safe
2026-07-18T12:04:24.636Z,499,1,Safe
2026-07-18T12:04:24.741Z,499,1,Safe
2026-07-18T12:04:24.848Z,500,1,Safe
2026-07-18T12:04:24.951Z,502,1,Safe
2026-07-18T12:04:25.058Z,501,0,Smoke/Gas Alert
2026-07-18T12:04:25.165Z,502,0,Smoke/Gas Alert
2026-07-18T12:04:25.270Z,502,0,Smoke/Gas Alert
2026-07-18T12:04:25.374Z,504,0,Smoke/Gas Alert
2026-07-18T12:04:25.482Z,505,0,Smoke/Gas Alert
2026-07-18T12:04:25.585Z,504,0,Smoke/Gas Alert
