Timestamp,Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps)
2026-07-18T11:39:37.663Z,12.4,8.8,-3.6
2026-07-18T11:39:37.815Z,10.5,-19.4,1.1
2026-07-18T11:39:37.968Z,32.6,-17.8,-4.4
2026-07-18T11:39:38.129Z,1.2,-23.8,-3.1
2026-07-18T11:39:38.283Z,16.3,-9.4,-3.1
2026-07-18T11:39:38.444Z,20,-12.4,-1.4
2026-07-18T11:39:38.599Z,9.9,6.6,-3.4
2026-07-18T11:39:38.753Z,15.2,-6.3,-3
2026-07-18T11:39:38.911Z,12.8,-1,0.5
2026-07-18T11:39:39.066Z,13.1,-6.7,-2.9
2026-07-18T11:39:39.223Z,15.1,5.5,-2
2026-07-18T11:39:39.377Z,14.7,18.4,1
2026-07-18T11:39:39.533Z,18.7,7.9,-3.8
2026-07-18T11:39:39.688Z,25.6,9.6,-8.1
2026-07-18T11:39:39.846Z,35,22.2,-2.7
2026-07-18T11:39:39.999Z,39.3,5.2,-7.8
2026-07-18T11:39:40.161Z,47.2,-9.1,-0.6
2026-07-18T11:39:40.318Z,6.2,-15.7,-1.6
2026-07-18T11:39:40.467Z,17.5,8.7,0.9
2026-07-18T11:39:40.625Z,51.3,1.1,-6.6
2026-07-18T11:39:40.780Z,15.8,0.4,-4
2026-07-18T11:39:40.941Z,-20.6,19,-3.8
2026-07-18T11:39:41.095Z,-4.3,-11.4,2.4
2026-07-18T11:39:41.251Z,-8.9,-4.1,2.2
2026-07-18T11:39:41.408Z,-0.8,5.1,-0.9
2026-07-18T11:39:41.561Z,-1.1,3.3,0.4
2026-07-18T11:39:41.721Z,14.5,10.9,-7.2
2026-07-18T11:39:41.881Z,20.2,-23.8,-5.8
2026-07-18T11:39:42.032Z,49,-32.4,-5.9
2026-07-18T11:39:42.191Z,43.2,-2,0.3
2026-07-18T11:39:42.344Z,46.8,44.7,5.9
2026-07-18T11:39:42.499Z,2.2,10.7,-1.1
2026-07-18T11:39:42.658Z,-0.4,14.4,-5.9
2026-07-18T11:39:42.817Z,-8.7,-1.3,-1.6
2026-07-18T11:39:42.973Z,-15.4,-2.1,-10.9
2026-07-18T11:39:43.131Z,15.3,4.4,-8
2026-07-18T11:39:43.285Z,24.6,2.2,-3.1
2026-07-18T11:39:43.439Z,25.1,2.2,0.4
2026-07-18T11:39:43.595Z,28.8,3.2,0.5
2026-07-18T11:39:43.752Z,23.1,-9.7,-6.1
2026-07-18T11:39:43.910Z,22.7,-16.7,7.2
2026-07-18T11:39:44.068Z,19.1,-22.4,-0.5
2026-07-18T11:39:44.223Z,2.3,-23.1,-2.7
2026-07-18T11:39:44.381Z,3.4,-21.7,-0.8
2026-07-18T11:39:44.534Z,-0.7,-40.6,-4.5
2026-07-18T11:39:44.697Z,17.6,-0.1,1.7
2026-07-18T11:39:44.853Z,16.2,3.6,-8.1
2026-07-18T11:39:45.004Z,16,73.1,2.6
2026-07-18T11:39:45.161Z,2.9,19.5,-4.8
2026-07-18T11:39:45.313Z,11.6,-13.7,-0.5
2026-07-18T11:39:45.469Z,28.4,-29.9,2.4
2026-07-18T11:39:45.631Z,19.3,-38.6,-7.6
2026-07-18T11:39:45.786Z,15,-46.9,-1.6
2026-07-18T11:39:45.938Z,24.8,-31.1,1.7
2026-07-18T11:39:46.100Z,12.4,-1.8,-1.6
2026-07-18T11:39:46.257Z,15.6,0.1,-2.2
2026-07-18T11:39:46.410Z,16.6,-1.3,0.3
2026-07-18T11:39:46.563Z,16.2,-2.4,-1.8
2026-07-18T11:39:46.718Z,15.2,-0.4,0.7
2026-07-18T11:39:46.877Z,18.2,-9.4,-3.7
2026-07-18T11:39:47.034Z,13.7,-6.5,-2.1
2026-07-18T11:39:47.185Z,23.4,36.3,-3.6
2026-07-18T11:39:47.343Z,20.2,21.5,-4.5
2026-07-18T11:39:47.499Z,16.3,34.9,-7.6
2026-07-18T11:39:47.656Z,6.8,11.3,-4.5
2026-07-18T11:39:47.811Z,19.7,15.1,-3.2
2026-07-18T11:39:47.968Z,14.7,7.4,-5.9
2026-07-18T11:39:48.123Z,20.9,1.4,-4.6
2026-07-18T11:39:48.280Z,19,2.7,-3.5
2026-07-18T11:39:48.433Z,19.5,3.6,-1.7
2026-07-18T11:39:48.593Z,10.4,-35.8,-5.3
2026-07-18T11:39:48.748Z,13.2,-24.8,-2.6
2026-07-18T11:39:48.910Z,11.3,-17.6,1.6
2026-07-18T11:39:49.062Z,18.1,-14.6,7.8
2026-07-18T11:39:49.218Z,25.8,-26.3,-3.1
2026-07-18T11:39:49.373Z,6.8,-11.9,-3.4
2026-07-18T11:39:49.536Z,16.7,-5.5,-3.2
2026-07-18T11:39:49.687Z,19.1,14.4,0.5
2026-07-18T11:39:49.841Z,16.7,33.9,-4.1
2026-07-18T11:39:49.999Z,19.1,32.1,-16.2
2026-07-18T11:39:50.154Z,18.5,-1.9,-2.2
2026-07-18T11:39:50.309Z,25.7,104.1,1.5
2026-07-18T11:39:50.462Z,8.6,3.3,-3.3
2026-07-18T11:39:50.620Z,19.2,5.5,-2.2
2026-07-18T11:39:50.778Z,23.7,5.1,1.2
2026-07-18T11:39:50.927Z,15.9,3.9,0.6
2026-07-18T11:39:51.092Z,-8.1,-48.6,-10.3
2026-07-18T11:39:51.247Z,8.4,97.1,-3.1
2026-07-18T11:39:51.398Z,121,44.1,46.5
2026-07-18T11:39:51.558Z,20.7,1,-2.5
2026-07-18T11:39:51.714Z,13.6,-0.6,-2.3
2026-07-18T11:39:51.873Z,15,-0.8,-2.3
2026-07-18T11:39:52.030Z,14.7,-0.6,-2.3
2026-07-18T11:39:52.181Z,14.9,-0.2,-2.7
2026-07-18T11:39:52.339Z,14.5,-0.4,-2.4
