Timestamp,Gas_Level_Analog,Digital_Pin_Value,Status
2026-07-18T12:03:35.459Z,369,1,Safe
2026-07-18T12:03:35.566Z,370,1,Safe
2026-07-18T12:03:35.670Z,369,1,Safe
2026-07-18T12:03:35.776Z,370,1,Safe
2026-07-18T12:03:35.882Z,370,1,Safe
2026-07-18T12:03:35.987Z,370,1,Safe
2026-07-18T12:03:36.091Z,370,1,Safe
2026-07-18T12:03:36.201Z,370,1,Safe
2026-07-18T12:03:36.303Z,370,1,Safe
2026-07-18T12:03:36.408Z,369,1,Safe
2026-07-18T12:03:36.516Z,369,1,Safe
2026-07-18T12:03:36.621Z,370,1,Safe
2026-07-18T12:03:36.725Z,370,1,Safe
2026-07-18T12:03:36.832Z,370,1,Safe
2026-07-18T12:03:36.937Z,369,1,Safe
2026-07-18T12:03:37.041Z,369,1,Safe
2026-07-18T12:03:37.149Z,369,1,Safe
2026-07-18T12:03:37.254Z,370,1,Safe
2026-07-18T12:03:37.358Z,369,1,Safe
2026-07-18T12:03:37.465Z,370,1,Safe
2026-07-18T12:03:37.569Z,368,1,Safe
2026-07-18T12:03:37.675Z,368,1,Safe
2026-07-18T12:03:37.780Z,368,1,Safe
2026-07-18T12:03:37.887Z,370,1,Safe
2026-07-18T12:03:37.990Z,369,1,Safe
2026-07-18T12:03:38.097Z,369,1,Safe
2026-07-18T12:03:38.201Z,369,1,Safe
2026-07-18T12:03:38.307Z,370,1,Safe
2026-07-18T12:03:38.415Z,369,1,Safe
2026-07-18T12:03:38.520Z,369,1,Safe
2026-07-18T12:03:38.623Z,369,1,Safe
2026-07-18T12:03:38.729Z,370,1,Safe
2026-07-18T12:03:38.836Z,369,1,Safe
2026-07-18T12:03:38.941Z,369,1,Safe
2026-07-18T12:03:39.045Z,369,1,Safe
2026-07-18T12:03:39.152Z,369,1,Safe
2026-07-18T12:03:39.257Z,370,1,Safe
2026-07-18T12:03:39.364Z,369,1,Safe
2026-07-18T12:03:39.469Z,370,1,Safe
2026-07-18T12:03:39.575Z,369,1,Safe
2026-07-18T12:03:39.680Z,369,1,Safe
2026-07-18T12:03:39.786Z,370,1,Safe
2026-07-18T12:03:39.891Z,369,1,Safe
2026-07-18T12:03:39.994Z,369,1,Safe
2026-07-18T12:03:40.102Z,369,1,Safe
2026-07-18T12:03:40.207Z,371,1,Safe
2026-07-18T12:03:40.314Z,369,1,Safe
2026-07-18T12:03:40.419Z,369,1,Safe
2026-07-18T12:03:40.522Z,370,1,Safe
2026-07-18T12:03:40.630Z,369,1,Safe
2026-07-18T12:03:40.736Z,369,1,Safe
2026-07-18T12:03:40.840Z,369,1,Safe
2026-07-18T12:03:40.944Z,370,1,Safe
2026-07-18T12:03:41.053Z,369,1,Safe
2026-07-18T12:03:41.158Z,370,1,Safe
2026-07-18T12:03:41.263Z,368,1,Safe
2026-07-18T12:03:41.369Z,368,1,Safe
