Timestamp,Gas_Level_Analog,Digital_Pin_Value,Status
2026-07-18T12:33:30.115Z,423,1,Safe
2026-07-18T12:33:30.219Z,424,1,Safe
2026-07-18T12:33:30.324Z,423,1,Safe
2026-07-18T12:33:30.431Z,425,1,Safe
2026-07-18T12:33:30.536Z,423,1,Safe
2026-07-18T12:33:30.640Z,424,1,Safe
2026-07-18T12:33:30.748Z,424,1,Safe
2026-07-18T12:33:30.852Z,424,1,Safe
2026-07-18T12:33:30.957Z,424,1,Safe
2026-07-18T12:33:31.065Z,424,1,Safe
2026-07-18T12:33:31.170Z,423,1,Safe
2026-07-18T12:33:31.273Z,423,1,Safe
2026-07-18T12:33:31.382Z,424,1,Safe
2026-07-18T12:33:31.485Z,424,1,Safe
2026-07-18T12:33:31.591Z,424,1,Safe
2026-07-18T12:33:31.697Z,424,1,Safe
2026-07-18T12:33:31.803Z,423,1,Safe
2026-07-18T12:33:31.907Z,424,1,Safe
2026-07-18T12:33:32.014Z,424,1,Safe
2026-07-18T12:33:32.119Z,424,1,Safe
2026-07-18T12:33:32.223Z,423,1,Safe
2026-07-18T12:33:32.331Z,424,1,Safe
2026-07-18T12:33:32.436Z,423,1,Safe
2026-07-18T12:33:32.542Z,424,1,Safe
2026-07-18T12:33:32.646Z,422,1,Safe
2026-07-18T12:33:32.754Z,424,1,Safe
2026-07-18T12:33:32.856Z,423,1,Safe
2026-07-18T12:33:32.964Z,424,1,Safe
2026-07-18T12:33:33.070Z,423,1,Safe
2026-07-18T12:33:33.173Z,423,1,Safe
2026-07-18T12:33:33.280Z,423,1,Safe
2026-07-18T12:33:33.385Z,425,1,Safe
2026-07-18T12:33:33.490Z,422,1,Safe
2026-07-18T12:33:33.596Z,422,1,Safe
2026-07-18T12:33:33.702Z,423,1,Safe
2026-07-18T12:33:33.807Z,423,1,Safe
2026-07-18T12:33:33.914Z,423,1,Safe
2026-07-18T12:33:34.018Z,424,1,Safe
2026-07-18T12:33:34.123Z,424,1,Safe
2026-07-18T12:33:34.231Z,423,1,Safe
2026-07-18T12:33:34.335Z,423,1,Safe
2026-07-18T12:33:34.439Z,423,1,Safe
2026-07-18T12:33:34.548Z,423,1,Safe
2026-07-18T12:33:34.651Z,423,1,Safe
2026-07-18T12:33:34.757Z,422,1,Safe
2026-07-18T12:33:34.864Z,422,1,Safe
2026-07-18T12:33:34.967Z,423,1,Safe
2026-07-18T12:33:35.073Z,422,1,Safe
2026-07-18T12:33:35.179Z,422,1,Safe
2026-07-18T12:33:35.285Z,423,1,Safe
2026-07-18T12:33:35.389Z,423,1,Safe
2026-07-18T12:33:35.497Z,422,1,Safe
2026-07-18T12:33:35.602Z,422,1,Safe
2026-07-18T12:33:35.705Z,422,1,Safe
2026-07-18T12:33:35.814Z,422,1,Safe
2026-07-18T12:33:35.918Z,422,1,Safe
2026-07-18T12:33:36.021Z,422,1,Safe
2026-07-18T12:33:36.129Z,422,1,Safe
2026-07-18T12:33:36.234Z,422,1,Safe
2026-07-18T12:33:36.338Z,422,1,Safe
2026-07-18T12:33:36.445Z,422,1,Safe
2026-07-18T12:33:36.552Z,422,1,Safe
2026-07-18T12:33:36.655Z,423,1,Safe
2026-07-18T12:33:36.763Z,422,1,Safe
2026-07-18T12:33:36.867Z,422,1,Safe
2026-07-18T12:33:36.973Z,422,1,Safe
2026-07-18T12:33:37.079Z,422,1,Safe
2026-07-18T12:33:37.185Z,421,1,Safe
2026-07-18T12:33:37.288Z,422,1,Safe
2026-07-18T12:33:37.396Z,421,1,Safe
2026-07-18T12:33:37.500Z,420,1,Safe
2026-07-18T12:33:37.605Z,422,1,Safe
2026-07-18T12:33:37.714Z,422,1,Safe
2026-07-18T12:33:37.818Z,422,1,Safe
2026-07-18T12:33:37.922Z,422,1,Safe
2026-07-18T12:33:38.029Z,420,1,Safe
2026-07-18T12:33:38.133Z,421,1,Safe
2026-07-18T12:33:38.238Z,421,1,Safe
2026-07-18T12:33:38.347Z,422,1,Safe
2026-07-18T12:33:38.452Z,420,1,Safe
2026-07-18T12:33:38.555Z,421,1,Safe
2026-07-18T12:33:38.660Z,421,1,Safe
2026-07-18T12:33:38.768Z,421,1,Safe
2026-07-18T12:33:38.871Z,421,1,Safe
2026-07-18T12:33:38.977Z,422,1,Safe
2026-07-18T12:33:39.086Z,422,1,Safe
2026-07-18T12:33:39.189Z,421,1,Safe
2026-07-18T12:33:39.295Z,420,1,Safe
2026-07-18T12:33:39.400Z,421,1,Safe
2026-07-18T12:33:39.505Z,420,1,Safe
2026-07-18T12:33:39.613Z,422,1,Safe
2026-07-18T12:33:39.718Z,422,1,Safe
2026-07-18T12:33:39.821Z,420,1,Safe
2026-07-18T12:33:39.927Z,420,1,Safe
2026-07-18T12:33:40.033Z,420,1,Safe
2026-07-18T12:33:40.138Z,421,1,Safe
2026-07-18T12:33:40.244Z,421,1,Safe
2026-07-18T12:33:40.352Z,420,1,Safe
2026-07-18T12:33:40.457Z,421,1,Safe
2026-07-18T12:33:40.564Z,420,1,Safe
2026-07-18T12:33:40.668Z,420,1,Safe
2026-07-18T12:33:40.772Z,420,1,Safe
2026-07-18T12:33:40.877Z,421,1,Safe
2026-07-18T12:33:40.983Z,419,1,Safe
2026-07-18T12:33:41.088Z,420,1,Safe
2026-07-18T12:33:41.195Z,419,1,Safe
2026-07-18T12:33:41.300Z,419,1,Safe
2026-07-18T12:33:41.405Z,420,1,Safe
2026-07-18T12:33:41.510Z,419,1,Safe
2026-07-18T12:33:41.617Z,420,1,Safe
2026-07-18T12:33:41.720Z,420,1,Safe
2026-07-18T12:33:41.826Z,419,1,Safe
2026-07-18T12:33:41.934Z,419,1,Safe
2026-07-18T12:33:42.038Z,420,1,Safe
2026-07-18T12:33:42.144Z,419,1,Safe
2026-07-18T12:33:42.249Z,419,1,Safe
2026-07-18T12:33:42.355Z,420,1,Safe
2026-07-18T12:33:42.460Z,418,1,Safe
2026-07-18T12:33:42.567Z,419,1,Safe
2026-07-18T12:33:42.671Z,420,1,Safe
2026-07-18T12:33:42.778Z,418,1,Safe
2026-07-18T12:33:42.883Z,419,1,Safe
2026-07-18T12:33:42.987Z,419,1,Safe
2026-07-18T12:33:43.093Z,418,1,Safe
2026-07-18T12:33:43.199Z,419,1,Safe
2026-07-18T12:33:43.305Z,419,1,Safe
2026-07-18T12:33:43.409Z,419,1,Safe
2026-07-18T12:33:43.516Z,419,1,Safe
2026-07-18T12:33:43.620Z,418,1,Safe
2026-07-18T12:33:43.726Z,419,1,Safe
2026-07-18T12:33:43.832Z,419,1,Safe
2026-07-18T12:33:43.937Z,418,1,Safe
2026-07-18T12:33:44.042Z,418,1,Safe
2026-07-18T12:33:44.150Z,419,1,Safe
2026-07-18T12:33:44.254Z,418,1,Safe
2026-07-18T12:33:44.360Z,418,1,Safe
2026-07-18T12:33:44.466Z,418,1,Safe
2026-07-18T12:33:44.570Z,419,1,Safe
2026-07-18T12:33:44.676Z,418,1,Safe
2026-07-18T12:33:44.783Z,418,1,Safe
2026-07-18T12:33:44.887Z,418,1,Safe
2026-07-18T12:33:44.992Z,418,1,Safe
2026-07-18T12:33:45.100Z,419,1,Safe
2026-07-18T12:33:45.205Z,418,1,Safe
2026-07-18T12:33:45.309Z,418,1,Safe
2026-07-18T12:33:45.417Z,418,1,Safe
2026-07-18T12:33:45.521Z,418,1,Safe
2026-07-18T12:33:45.627Z,418,1,Safe
2026-07-18T12:33:45.734Z,417,1,Safe
2026-07-18T12:33:45.836Z,418,1,Safe
2026-07-18T12:33:45.942Z,418,1,Safe
2026-07-18T12:33:46.050Z,418,1,Safe
2026-07-18T12:33:46.153Z,417,1,Safe
2026-07-18T12:33:46.260Z,417,1,Safe
2026-07-18T12:33:46.368Z,419,1,Safe
2026-07-18T12:33:46.470Z,418,1,Safe
2026-07-18T12:33:46.575Z,417,1,Safe
2026-07-18T12:33:46.684Z,417,1,Safe
2026-07-18T12:33:46.787Z,417,1,Safe
2026-07-18T12:33:46.892Z,417,1,Safe
2026-07-18T12:33:46.998Z,417,1,Safe
2026-07-18T12:33:47.103Z,417,1,Safe
2026-07-18T12:33:47.209Z,418,1,Safe
2026-07-18T12:33:47.316Z,415,1,Safe
2026-07-18T12:33:47.421Z,417,1,Safe
2026-07-18T12:33:47.527Z,417,1,Safe
2026-07-18T12:33:47.634Z,415,1,Safe
2026-07-18T12:33:47.739Z,417,1,Safe
2026-07-18T12:33:47.843Z,417,1,Safe
2026-07-18T12:33:47.950Z,415,1,Safe
2026-07-18T12:33:48.053Z,417,1,Safe
2026-07-18T12:33:48.159Z,417,1,Safe
2026-07-18T12:33:48.267Z,414,1,Safe
2026-07-18T12:33:48.371Z,415,1,Safe
2026-07-18T12:33:48.475Z,415,1,Safe
2026-07-18T12:33:48.584Z,415,1,Safe
2026-07-18T12:33:48.688Z,416,1,Safe
2026-07-18T12:33:48.792Z,417,1,Safe
2026-07-18T12:33:48.899Z,414,1,Safe
2026-07-18T12:33:49.003Z,414,1,Safe
2026-07-18T12:33:49.108Z,415,1,Safe
2026-07-18T12:33:49.215Z,415,1,Safe
2026-07-18T12:33:49.319Z,415,1,Safe
2026-07-18T12:33:49.425Z,415,1,Safe
2026-07-18T12:33:49.534Z,415,1,Safe
2026-07-18T12:33:49.637Z,415,1,Safe
2026-07-18T12:33:49.741Z,414,1,Safe
2026-07-18T12:33:49.850Z,415,1,Safe
2026-07-18T12:33:49.952Z,415,1,Safe
2026-07-18T12:33:50.058Z,413,1,Safe
2026-07-18T12:33:50.166Z,414,1,Safe
2026-07-18T12:33:50.270Z,415,1,Safe
2026-07-18T12:33:50.375Z,414,1,Safe
2026-07-18T12:33:50.483Z,414,1,Safe
2026-07-18T12:33:50.587Z,414,1,Safe
2026-07-18T12:33:50.691Z,414,1,Safe
2026-07-18T12:33:50.801Z,414,1,Safe
2026-07-18T12:33:50.903Z,414,1,Safe
2026-07-18T12:33:51.008Z,414,1,Safe
2026-07-18T12:33:51.115Z,414,1,Safe
2026-07-18T12:33:51.219Z,414,1,Safe
2026-07-18T12:33:51.326Z,413,1,Safe
2026-07-18T12:33:51.432Z,413,1,Safe
2026-07-18T12:33:51.537Z,414,1,Safe
2026-07-18T12:33:51.641Z,414,1,Safe
2026-07-18T12:33:51.751Z,414,1,Safe
2026-07-18T12:33:51.853Z,414,1,Safe
2026-07-18T12:33:51.957Z,414,1,Safe
2026-07-18T12:33:52.066Z,415,1,Safe
2026-07-18T12:33:52.169Z,413,1,Safe
2026-07-18T12:33:52.274Z,414,1,Safe
2026-07-18T12:33:52.383Z,413,1,Safe
2026-07-18T12:33:52.487Z,414,1,Safe
2026-07-18T12:33:52.590Z,413,1,Safe
2026-07-18T12:33:52.700Z,413,1,Safe
2026-07-18T12:33:52.803Z,414,1,Safe
2026-07-18T12:33:52.907Z,412,1,Safe
2026-07-18T12:33:53.017Z,412,1,Safe
2026-07-18T12:33:53.119Z,412,1,Safe
2026-07-18T12:33:53.225Z,411,1,Safe
2026-07-18T12:33:53.332Z,414,1,Safe
2026-07-18T12:33:53.435Z,413,1,Safe
2026-07-18T12:33:53.540Z,412,1,Safe
2026-07-18T12:33:53.649Z,413,1,Safe
2026-07-18T12:33:53.753Z,412,1,Safe
2026-07-18T12:33:53.857Z,411,1,Safe
2026-07-18T12:33:53.965Z,414,1,Safe
2026-07-18T12:33:54.071Z,413,1,Safe
2026-07-18T12:33:54.173Z,412,1,Safe
2026-07-18T12:33:54.282Z,412,1,Safe
2026-07-18T12:33:54.386Z,412,1,Safe
