Timestamp,,,Gyro_X(dps),Gyro_Y(dps),Gyro_Z(dps)
2026-07-18T11:40:16.829Z,,,15.3,2.3,-2.8
2026-07-18T11:40:16.988Z,,,14.1,41.6,-3.9
2026-07-18T11:40:17.146Z,,,10.6,55,-16.5
2026-07-18T11:40:17.304Z,,,16.1,7.8,-3.3
2026-07-18T11:40:17.462Z,,,14.3,0.8,-4.3
2026-07-18T11:40:17.619Z,,,21,18.3,-0.6
2026-07-18T11:40:17.778Z,,,14.3,39.9,-2.7
2026-07-18T11:40:17.933Z,,,7.8,16.3,-2.9
2026-07-18T11:40:18.096Z,,,22.6,34.9,-4.9
2026-07-18T11:40:18.252Z,,,11.6,10.1,-2.3
2026-07-18T11:40:18.410Z,,,15.6,2.9,-2.3
2026-07-18T11:40:18.568Z,,,13.6,12.8,-3.8
2026-07-18T11:40:18.725Z,,,11.2,-5.3,-1.3
2026-07-18T11:40:18.881Z,,,15.2,8.9,-0.8
2026-07-18T11:40:19.044Z,,,11.8,-9.6,-0.5
2026-07-18T11:40:19.202Z,,,14,-0.7,-2.4
2026-07-18T11:40:19.362Z,,,12.3,-10.5,-1.3
2026-07-18T11:40:19.520Z,,,16.9,-4.1,-2.7
2026-07-18T11:40:19.677Z,,,17.3,-13,-3.5
2026-07-18T11:40:19.841Z,,,15,-8.2,-2.7
